Charles Babbage;Lin-Manuel Miranda|Charles Babbage|9-3
Abraham Lincoln;Julius Caesar|Julius Caesar|7-1
Charles Darwin;Antonio Stradivari|Antonio Stradivari|7-1
Mary Magdalene;Steven Spielberg|Mary Magdalene|7-1
Sir Walter Raleigh;Queen Victoria|Sir Walter Raleigh|7-0
Justin Bieber;Augustus Caesar|Justin Bieber|4-3
Grant Gustin;Jon Bon Jovi|Grant Gustin|4-3
Cleopatra;Gordon Ramsay|Gordon Ramsay|5-2
Charlie Chaplin;Voltaire|Voltaire|6-1
John Hancock;Charles Dickens|John Hancock|8-0
Pythagoras;Anne Frank|Pythagoras|7-1
Otto Von Bismarck;Ulysses S. Grant|Ulysses S. Grant|7-1
Stonewall Jackson;Stephen King|Stonewall Jackson|10-1
Augustin-Louis Cauchy;Bill Murray|Bill Murray|9-1
Christopher Columbus;George R. R. Martin|George R. R. Martin|6-3
Gottfried Wilhelm Leibniz;Nikola Tesla|Nikola Tesla|8-1
Stefan Karl Stefansson;Will Ferrell|Stefan Karl Stefansson|6-3
Bernie Sanders;Owen Wilson|Owen Wilson|8-1
Albert Einstein;Srinivasa Ramanujan|Albert Einstein|7-6
Sir Issac Newton;Shalom H. Schwartz|Shalom H. Schwartz|8-3
Ferdinand Magellan;Homer (The Odyssey)|Homer (The Odyssey)|7-6
Chris Evans;Drake|Chris Evans|9-1
Tom Holland;Paul Revere|Tom Holland|8-1
Bon Scott;Lui Hui|Lui Hui|10-0
John Jay;Jack Black|Jack Black|8-0
David Snively;Meg White|David Snively|8-1
Bill Gates;Mikhail Gorbachev|Mikhail Gorbachev|5-3
Stephen Curry;August Ferdinand Mobius|Stephen Curry|6-4
Chuck Norris;Robert E. Lee|Chuck Norris|8-1
Frederick Douglass;Jackie Robinson|Jackie Robinson|6-3
Mother Teresa;Niels Bohr|Niels Bohr|5-3
Ivan the Terrible;Stan Lee|Ivan the Terrible|6-2
Carl Sagan;Nicolaus Copernicus|Nicolaus Copernicus|7-1
Heinrich Hertz;Qin Shi Huang|Tie|5-5
Ben Stiller;Christian Goldbach|Ben Stiller|6-4
Carrie Fisher;Orville Wright|Orville Wright|6-4
William Shakespeare;Evariste Galois|William Shakespeare|7-3
Yuri Kondratyuk;James Earl Jones|James Earl Jones|6-4
H. P. Lovecraft;Elon Musk|H. P. Lovecraft|8-2
Montezuma;Johannes Kepler|Johannes Kepler|8-2
Steve Jobs;Winston Churchill|Steve Jobs|6-4
Frida Kahlo;Arnold Schwarzenegger|Arnold Schwarzenegger|9-1
Leiv Eiriksson;Bernhard Riemann|Leiv Eiriksson|4-0
Buzz Aldrin;Grigori Rasputin|Grigori Rasputin|3-2
Manfred von Richthofen;Walt Disney|Manfred von Richthofen|4-1
Markiplier;Toby Fox|Markiplier|5-1
Miyamoto Musashi;Mark Zuckerburg|Miyamoto Musashi|5-1
Harriet Tubman;Mark Ruffalo|Mark Ruffalo|5-1
Archimedes;Ernest Rutherford|Archimedes|10-0
Tobey Maguire;Simo Hayha|Simo Hayha|7-3
Jack Churchill;Suleiman the Magnificent|Suleiman the Magnificent|8-1
