Franklin D. Roosevelt|Elvis Presley|8-4|Franklin D. Roosevelt
Sun Tzu|Charles Cornwallis|9-3|Sun Tzu
Jon Bon Jovi|Erwin Schrodinger|1-9|Erwin Schrodinger
Leonardo da Vinci|Bill Clinton|8-2|Leonardo da Vinci
Stephen Hawking|Benito Mussolini|5-6|Benito Mussolini
Meg White|Mao Zedong|3-8|Mao Zedong
Leonhard Euler|John Cena|4-6|John Cena
George S. Patton|Brutus|7-3|George S. Patton
Gaston Julia|Bill Watterson|1-7|Bill Watterson
August Ferdinand Mobius|Donald Trump|9-2|August Ferdinand Mobius
J. Robert Oppenheimer|Freddie Mercury|10-3|J. Robert Oppenheimer
Joe Biden|William McKinley|10-3|Joe Biden
Keanu Reeves|Hugh Jackman|6-7|Keanu Reeves
Thales of Miletus|Rebecca Sugar|9-4|Thales of Miletus
Dwayne Johnson|Stephen King|11-2|Dwayne Johnson
Charlie Chaplin|Ramesses II|3-8|Ramesses II
Alan Turing|Frank Sinatra|3-8|Frank Sinatra
Raphael|Nicolaus Copernicus|6-5|Raphael
Peter Higgs|Stephanie Kwolek|8-2|Peter Higgs
Richard Nixon|Theodore Roosevelt|4-6|Theodore Roosevelt
Genghis Khan|Bill Gates|1-10|Bill Gates
Ewan McGreggor|Buster Keaton|5-6|Buster Keaton
William Henry Harrison|Jimmy Carter|9-2|William Henry Harrison
King Louis XVI of France|Jackson Pollock|8-3|King Louis XVI of France
Henry Ford|Hillary Clinton|10-1|Henry Ford
Arnold Schwarzenegger|Charles X of Sweden|10-2|Arnold Schwarzenegger
Grigori Rasputin|Emperor Norton|10-2|Grigori Rasputin
James Garfield|Yang Hui|4-8|James Garfield
Galileo Galilei|Alex Trebeck|2-10|Alex Trebeck
Kaiser Wilhelm|Bernie Sanders|5-6|Bernie Sanders
Orville Wright|Usain Bolt|10-2|Orville Wright
Evariste Galois|Yuri Kondratyuk|5-7|Yuri Kondratyuk
Kublai Khan|Sir Walter Raleigh|10-2|Kublai Khan
Manfred von Richthofen|Richard the Lionheart|5-6|Richard the Lionheart
John Jay|Masahiro Sakurai|5-6|Masahiro Sakurai
Georg Cantor|Joseph Fourier|3-8|Joseph Fourier
William Howard Taft|Leon Trotsky|2-9|Leon Trotsky
Jack Nicholson|Emily Dickinson|8-2|Jack Nicholson
Michael Jordan|Chris Pratt|8-2|Michael Jordan
Hammurabi|Jerry Seinfeld|6-4|Hammurabi
Saladin|Shalom H. Schwartz|5-6|Shalom H. Schwartz
H. P. Lovecraft|Montezuma|5-5|Tie!
Jackie Chan|Malala Yousafzai|9-1|Jackie Chan
Sigmund Freud|Edgar Allan Poe|3-7|Edgar Allan Poe
Millard Fillmore|Edward Teller|5-5|Tie!
Jens Bergensten|Catherine the Great|3-7|Catherine the Great
Socrates|Alfred Hitchcock|7-3|Socrates
Sir Francis Drake|James A. Garfield|5-4|Sir Francis Drake
Enrico Fermi|Woodrow Wilson|3-6|Woodrow Wilson
Josef Mengele|Leonardo DiCaprio|6-2|Josef Mengele
Barack Obama|Bon Scott|5-5|Tie!
Napoleon III|Heinrich Hertz|8-2|Napoleon III
Calvin Coolidge|James Monroe|1-9|James Monroe
Babe Ruth|Benedict Cumberbatch|6-4|Babe Ruth
Yu the Great|Stefan Karl Stefansson|3-7|Stefan Karl Stefansson
Voltaire|Charlemagne|3-6|Charlemagne
Charles Babbage|Tom Holland|1-8|Tom Holland
Zach Callison|Ronald Reagan|7-2|Zach Callison
Johannes Kepler|Edward the Black Prince|1-8|Edward the Black Prince
Buzz Aldrin|Jack Kirby|7-2|Buzz Aldrin
John Quincy Adams|Zachary Taylor|6-3|John Quincy Adams
PewDiePie|Mike Tyson|3-6|Mike Tyson
Michelangelo|J. K. Rowling|6-3|Michelangelo
Mark Twain|Edward Norton|2-7|Edward Norton
Stephen Douglas|Nikola Tesla|6-3|Stephen Douglas
Alexander Hamilton|Chester A. Arthur|6-3|Alexander Hamilton
Nelson Mandela|Bill Nye|4-4|Tie!
Rosa Parks|Christopher Columbus|4-4|Tie!
Toby Fox|Prince (musician)|3-4|Prince (musician)
Harry S. Truman|John D. Rockefeller|7-1|Harry S. Truman
Warren G. Harding|Douglas MacArthur|3-5|Douglas MacArthur
Gottfried Wilhelm Leibniz|Richard Feynman|8-1|Gottfried Wilhelm Leibniz
Mikhail Gorbachev|Gerald Ford|3-6|Gerald Ford
Bill Murray|Niels Bohr|5-2|Bill Murray
Charles V of Austria|Stephen Curry|5-3|Charles V of Austria
Clovis I|Owen Wilson|5-2|Clovis I
John Napier|Robert E. Lee|4-3|John Napier
Al Gore|Max Planck|5-2|Al Gore
Anne Frank|George W. Bush|3-4|George W. Bush
Randall Munroe|Vlad the Impaler|3-5|Vlad the Impaler
Daniel Bernoulli|Valentin Glushko|5-2|Daniel Bernoulli
George R. R. Martin|Martin Luther King Jr.|2-5|Martin Luther King Jr.
Markus Persson|Jack Churchill|2-5|Jack Churchill
Andrew Johnson|Augustin-Louis Cauchy|5-2|Andrew Johnson
Diego Rivera|Muhammad Ali|1-6|Muhammad Ali
Morgan Freeman|Andrew Jackson|6-2|Morgan Freeman
Martin Van Buren|Rene Descartes|7-1|Martin Van Buren
Horatio Gates|Hanibal (general)|6-2|Horatio Gates
Ben Stiller|Lyndon B. Johnson|6-3|Ben Stiller
Walt Disney|Harriet Tubman|5-3|Walt Disney
Nicolas Cage|Harry Styles|4-3|Nicolas Cage
Ptolemy|Quentin Tarantino|1-6|Quentin Tarantino
Grover Cleveland|Alec Guinness|2-5|Alec Guinness
Fidel Castro|Amelia Earhart|3-4|Amelia Earhart
Elon Musk|Ulysses S. Grant|2-5|Ulysses S. Grant
Nicki Minaj|Jeb Bush|4-3|Nicki Minaj
Mark Hamill|Julius Caesar|2-5|Julius Caesar
Stonewall Jackson|Thom Tillis|4-3|Stonewall Jackson
Marco Polo|Carrie Fisher|4-3|Marco Polo
James K. Polk|Phil Swift|1-5|Phil Swift
Archduke Franz Ferdinand|Joan of Arc|4-3|Archduke Franz Ferdinand
Ivan the Terrible|Eric Prydz|5-2|Ivan the Terrible
Abraham Lincoln|Qin Shi Huang|5-2|Abraham Lincoln
John Rockefeller|Harrison Ford|3-4|Harrison Ford
Mary Magdalene|Miyamoto Musashi|1-6|Miyamoto Musashi
Christina Aguilera|Joseph Stalin|1-6|Joseph Stalin
Gabe Newell|HG Wells|4-3|Gabe Newell
George Clooney|Shaka Zulu|1-6|Shaka Zulu
John F. Kennedy|Benjamin Harrison|5-2|John F. Kennedy
Dwight Eisenhower|Pat Sajak|2-5|Pat Sajak
John Hancock|Cleopatra|6-1|John Hancock
Paul Dirac|Otto von Bismarck|2-5|Otto von Bismarck
Cal Cunningham|Tom Hanks|3-4|Tom Hanks
Yuri Gagarin|Winston Churchill|4-2|Yuri Gagarin
Ernest Rutherford|Michael Jackson|2-4|Michael Jackson
Bruce Lee|Rick Astley|3-3|Tie!
Edwin Hubble|Vasco da Gama|6-1|Edwin Hubble
Sir Robert Wadlow|Carl Gauss|2-5|Carl Gauss
Rutherford B. Hayes|Fluffy (Gabriel Iglesias)|1-6|Fluffy (Gabriel Iglesias)
Malcolm X|Augustus|5-2|Malcolm X
C. S. Lewis|James Buchanan|1-7|James Buchanan
Charles Dickens|Oscar Wilde|7-1|Charles Dickens
Marie Curie|Vladimir Lenin|4-4|Tie!
Bob Ross|Ninja (streamer)|3-4|Ninja (streamer)
Steven Spielberg|Justin Bieber|1-6|Justin Bieber
Thomas Jefferson|Euclid|2-4|Euclid
Oda Nobunaga|Albert Einstein|6-1|Oda Nobunaga
Plato|Neil Armstrong|4-3|Plato
Frida Kahlo|Hayden Christensen|1-6|Hayden Christensen
John Calvin|John Lennon|2-5|John Lennon
J. R. R. Tolkien|Oprah Winfrey|1-8|Oprah Winfrey
Pablo Picasso|Henrietta Lacks|2-7|Henrietta Lacks
Vincent Van Gogh|Lyn Evans|7-1|Vincent Van Gogh
Stanislaw Ulam|Josh Brolin|3-5|Josh Brolin
Tom Cruise|Grant Kirkhope|2-6|Grant Kirkhope
Winston Duke|Sir Isaac Newton|3-4|Sir Isaac Newton
Charles Darwin|Mark Zuckerberg|2-5|Mark Zuckerberg
Benjamin Franklin|Suleiman the Magnificent|2-5|Suleiman the Magnificent
Jacob Sartorius|Leiv Eiriksson|1-6|Leiv Eiriksson
Christian Goldbach|Chris Wallace|5-2|Christian Goldbach
Karl Marx|Chris Evans|3-5|Chris Evans
William Shakespeare|Adolf Hitler|7-1|William Shakespeare
James Madison|Avicii|6-2|James Madison
Drake|Jack White|4-3|Drake
Martin Luther|Queen Victoria|4-3|Martin Luther
Mahatma Gandhi|Fred Rogers|2-6|Fred Rogers
